8,市場,いちば,Market,基本,5,アクション,0
9,改築,かいちく,Remodel,基本,4,アクション,0
10,鍛冶屋,かじや,Smithy,基本,4,アクション,0
11,金貸し,かねかし,Moneylender,基本,4,アクション,0
12,木こり,きこり,Woodcutter,基本,3,アクション,0
13,議事堂,ぎじどう,Council Room,基本,5,アクション,0
14,玉座の間,ぎょくざのま,Throne Room,基本,4,アクション,0
15,研究所,けんきゅうじょ,Laboratory,基本,5,アクション,0
16,鉱山,こうざん,Mine,基本,5,アクション,0
17,工房,こうぼう,Workshop,基本,3,アクション,0
18,宰相,さいしょう,Chancellor,基本,3,アクション,0
19,祝宴,しゅくえん,Feast,基本,4,アクション,0
20,祝祭,しゅくさい,Festival,基本,5,アクション,0
21,書庫,しょこ,Library,基本,5,アクション,0
22,地下貯蔵庫,ちかちょぞうこ,Cellar,基本,2,アクション,0
23,庭園,ていえん,Gardens,基本,4,勝利点,0
24,泥棒,どろぼう,Thief,基本,4,アクション−アタック,0
25,冒険者,ぼうけんしゃ,Adventurer,基本,6,アクション,0
26,堀,ほり,Moat,基本,2,アクション−リアクション,0
27,魔女,まじょ,Witch,基本,5,アクション−アタック,0
28,密偵,みってい,Spy,基本,4,アクション−アタック,0
29,民兵,みんぺい,Militia,基本,4,アクション−アタック,0
30,村,むら,Village,基本,3,アクション,0
31,役人,やくにん,Bureaucrat,基本,4,アクション−アタック,0
32,礼拝堂,れいはいどう,Chapel,基本,2,アクション,0
33,大広間,おおひろま,Great Hall,陰謀,3,アクション−勝利点,0
34,改良,かいりょう,Upgrade,陰謀,5,アクション,0
35,仮面舞踏会,かめんぶとうかい,Masquerade,陰謀,3,アクション,0
36,貴族,きぞく,Nobles,陰謀,6,アクション−勝利点,0
37,共謀者,きょうぼうしゃ,Conspirator,陰謀,4,アクション,0
38,交易場,こうえきじょう,Trading Post,陰謀,5,アクション,0
39,鉱山の村,こうざんのむら,Mining Village,陰謀,4,アクション,0
40,公爵,こうしゃく,Duke,陰謀,5,勝利点,0
41,拷問人,ごうもんにん,Torturer,陰謀,5,アクション−アタック,0
42,詐欺師,さぎし,Swindler,陰謀,3,アクション−アタック,0
43,執事,しつじ,Steward,陰謀,3,アクション,0
44,男爵,だんしゃく,Baron,陰謀,4,アクション,0
45,寵臣,ちょうしん,Minion,陰謀,5,アクション−アタック,0
46,偵察員,ていさついん,Scout,陰謀,4,アクション,0
47,手先,てさき,Pawn,陰謀,2,アクション,0
48,鉄工所,てっこうじょ,Ironworks,陰謀,4,アクション,0
49,銅細工師,どうざいくし,Coppersmith,陰謀,4,アクション,0
50,中庭,なかにわ,Courtyard,陰謀,2,アクション,0
51,願いの井戸,ねがいのいど,Wishing Well,陰謀,3,アクション,0
52,ハーレム,はーれむ,Harem,陰謀,6,財宝−勝利点,0
53,破壊工作員,はかいこうさくいん,Saboteur,陰謀,5,アクション−アタック,0
54,橋,はし,Bridge,陰謀,4,アクション,0
55,秘密の部屋,ひみつのへや,Secret Chamber,陰謀,2,アクション−リアクション,0
56,貧民街,ひんみんがい,Shanty Town,陰謀,3,アクション,0
57,貢物,みつぎもの,Tribute,陰謀,5,アクション,0
58,海の妖婆,うみのようば,Sea Hag,海辺,4,アクション−アタック,0
59,海賊船,かいぞくせん,Pirate Ship,海辺,4,アクション−アタック,0
60,漁村,ぎょそん,Fishing Village,海辺,3,アクション−持続,0
61,巾着切り,きんちゃくきり,Cutpurse,海辺,4,アクション−アタック,0
62,原住民の村,げんじゅうみんのむら,Native Village,海辺,2,アクション,0
63,航海士,こうかいし,Navigator,海辺,4,アクション,0
64,策士,さくし,Tactician,海辺,5,アクション−持続,0
65,島,しま,Island,海辺,4,アクション−勝利点,0
66,商船,しょうせん,Merchant Ship,海辺,5,アクション−持続,0
67,真珠採り,しんじゅとり,Pearl Diver,海辺,2,アクション,0
68,前哨地,ぜんしょうち,Outpost,海辺,5,アクション−持続,0
69,倉庫,そうこ,Warehouse,海辺,3,アクション,0
70,大使,たいし,Ambassador,海辺,3,アクション−アタック,0
71,隊商,たいしょう,Caravan,海辺,4,アクション−持続,0
72,宝の地図,たからのちず,Treasure Map,海辺,4,アクション,0
73,探検家,たんけんか,Explorer,海辺,5,アクション,0
74,停泊所,ていはくじょ,Haven,海辺,2,アクション−持続,0
75,灯台,とうだい,Lighthouse,海辺,2,アクション−持続,0
76,バザー,ばざー,Bazaar,海辺,5,アクション,0
77,引揚水夫,ひきあげすいふ,Salvager,海辺,4,アクション,0
78,船着場,ふなつきば,Wharf,海辺,5,アクション−持続,0
79,宝物庫,ほうもつこ,Treasury,海辺,5,アクション,0
80,密輸人,みつゆにん,Smugglers,海辺,3,アクション,0
81,見張り,みはり,Lookout,海辺,3,アクション,0
82,幽霊船,ゆうれいせん,Ghost Ship,海辺,5,アクション−アタック,0
83,抑留,よくりゅう,Embargo,海辺,2,アクション,0
84,闇市場,やみいちば,Black Market,プロモ,3,アクション,1
85,公使,こうし,Envoy,プロモ,4,アクション,1
86,へそくり,へそくり,Stash,プロモ,5,財宝,1
87,薬師,くすし,Apothecary,錬金術,2p,アクション,0
88,賢者の石,けんじゃのいし,Philosopher's Stone,錬金術,3p,財宝,0
89,ゴーレム,ごーれむ,Golem,錬金術,4p,アクション,0
90,支配,しはい,Possession,錬金術,6p,アクション,0
91,大学,だいがく,University,錬金術,2p,アクション,0
92,使い魔,つかいま,Familiar,錬金術,3p,アクション−アタック,0
93,弟子,でし,Apprentice,錬金術,5,アクション,0
94,念視の泉,ねんしのいずみ,Scrying Pool,錬金術,2p,アクション−アタック,0
95,ブドウ園,ぶどうえん,Vineyard,錬金術,0p,勝利点,0
96,変成,へんせい,Transmute,錬金術,0p,アクション,0
98,薬草商,やくそうしょう,Herbalist,錬金術,2,アクション,0
99,錬金術師,れんきんじゅつし,Alchemist,錬金術,3p,アクション,0
100,石切場,いしきりば,Quarry,繁栄,4,財宝,0
101,大市場,おおいちば,Grand Market,繁栄,6,アクション,0
102,会計所,かいけいしょ,Counting House,繁栄,5,アクション,0
103,隠し財産,かくしざいさん,Hoard,繁栄,6,財宝,0
104,拡張,かくちょう,Expand,繁栄,7,アクション,0
105,記念碑,きねんひ,Monument,繁栄,4,アクション,0
106,宮廷,きゅうてい,King's Court,繁栄,7,アクション,0
107,行商人,ぎょうしょうにん,Peddler,繁栄,8*,アクション,0
108,玉璽,ぎょくじ,Royal Seal,繁栄,5,財宝,0
109,銀行,ぎんこう,Bank,繁栄,7,財宝,0
110,禁制品,きんせいひん,Contraband,繁栄,5,財宝,0
111,交易路,こうえきろ,Trade Route,繁栄,3,アクション,0
112,護符,ごふ,Talisman,繁栄,4,財宝,0
113,司教,しきょう,Bishop,繁栄,4,アクション,0
114,借金,しゃっきん,Loan,繁栄,3,財宝,0
116,造幣所,ぞうへいしょ,Mint,繁栄,5,アクション,0
117,大衆,たいしゅう,Rabble,繁栄,5,アクション−アタック,0
118,鍛造,たんぞう,Forge,繁栄,7,アクション,0
119,投機,とうき,Venture,繁栄,5,財宝,0
120,都市,とし,City,繁栄,5,アクション,0
121,ならず者,ならずもの,Goons,繁栄,6,アクション−アタック,0
123,望楼,ぼうろう,Watchtower,繁栄,3,アクション−リアクション,0
124,保管庫,ほかんこ,Vault,繁栄,5,アクション,0
125,香具師,やし,Mountebank,繁栄,5,アクション−アタック,0
126,労働者の村,ろうどうしゃのむら,Worker's Village,繁栄,4,アクション,0
127,移動動物園,いどうどうぶつえん,Menagerie,収穫祭,3,アクション,0
128,馬商人,うましょうにん,Horse Traders,収穫祭,4,アクション−リアクション,0
129,占い師,うらないし,Fortune Teller,収穫祭,3,アクション−アタック,0
133,再建,さいけん,Remake,収穫祭,4,アクション,0
134,収穫,しゅうかく,Harvest,収穫祭,5,アクション,0
135,狩猟団,しゅりょうだん,Hunting Party,収穫祭,5,アクション,0
136,村落,そんらく,Hamlet,収穫祭,2,アクション,0
137,道化師,どうけし,Jester,収穫祭,5,アクション−アタック,0
138,農村,のうそん,Farming Village,収穫祭,4,アクション,0
139,馬上槍試合,ばじょうやりじあい,Tournament,収穫祭,4,アクション,0
140,品評会,ひんぴょうかい,Fairgrounds,収穫祭,6,勝利点,0
141,豊穣の角笛,ほうじょうのつのぶえ,Horn of Plenty,収穫祭,5,財宝,0
142,魔女娘,まじょむすめ,Young Witch,収穫祭,4,アクション−アタック,0
145,オアシス,おあしす,Oasis,異郷,3,アクション,0
146,街道,かいどう,Highway,異郷,5,アクション,0
147,開発,かいはつ,Develop,異郷,3,アクション,0
148,画策,かくさく,Scheme,異郷,3,アクション,0
149,官吏,かんり,Mandarin,異郷,5,アクション,0
150,義賊,ぎぞく,Noble Brigand,異郷,4,アクション−アタック,0
151,厩舎,きゅうしゃ,Stables,異郷,5,アクション,0
152,岐路,きろ,Crossroads,異郷,2,アクション,0
153,愚者の黄金,ぐしゃのおうごん,Fool's Gold,異郷,2,財宝−リアクション,0
154,交易人,こうえきにん,Trader,異郷,4,アクション−リアクション,0
155,公爵夫人,こうしゃくふじん,Duchess,異郷,2,アクション,0
156,香辛料商人,こうしんりょうしょうにん,Spice Merchant,異郷,4,アクション,0
157,坑道,こうどう,Tunnel,異郷,3,勝利点−リアクション,0
158,国境の村,こっきょうのむら,Border Village,異郷,6,アクション,0
159,シルクロード,しるくろーど,Silk Road,異郷,4,勝利点,0
160,神託,しんたく,Oracle,異郷,3,アクション−アタック,0
161,大使館,たいしかん,Embassy,異郷,5,アクション,0
162,地図職人,ちずしょくにん,Cartographer,異郷,5,アクション,0
163,値切り屋,ねぎりや,Haggler,異郷,5,アクション,0
164,農地,のうち,Farmland,異郷,6,勝利点,0
165,不正利得,ふせいりとく,Ill-Gotten Gains,異郷,5,財宝,0
166,辺境伯,へんきょうはく,Margrave,異郷,5,アクション−アタック,0
167,埋蔵金,まいぞうきん,Cache,異郷,5,財宝,0
168,宿屋,やどや,Inn,異郷,5,アクション,0
169,遊牧民の野営地,ゆうぼくみんのやえいち,Nomad Camp,異郷,4,アクション,0
170,よろずや,よろずや,Jack of All Trades,異郷,4,アクション,0
171,囲郭村,いかくそん,Walled Village,プロモ,4,アクション,1
172,総督,そうとく,Governor,プロモ,5,アクション,1
